 1   6
 2   42
 3   114
 4   222    
 5   366     
 6   546     
 7   762     
 8   1014     
 9   1302     
10   1626     
11   1986     
12   2382     
13   2814     
14   3282     
15   3786     
16   4326
17   4902
18   5514
19   6162
20   6846
21   7566
22   8322
23   9114
24   9942
25   10806
26   11706
27   12642
28   13614
29   14622
30   15666
